id,category,expected_decision,needs_manual_review,review_reasons,query,expected_entities,selected_observations_total,selection_rules,numeric_facts_count,temporal_facts_count,topology_count,missing_facts_count,missing_facts,wkt_count,wkt_verified_count
1,explicit,ANSWER,True,per_entity_evidence_incomplete | requested_fact_missing_or_not_directly_stored,Каков текущий уровень воды в реке Ili River?,Ili River,1,structural_fallback,0,0,0,2,water_level | temporal_context,1,1
2,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Проверь статус датчика уровня воды на реке Karatal River.,Karatal River,3,requested_predicate_match,3,0,0,1,sensor_operational_status,1,1
3,explicit,ANSWER,False,,Какой последний показатель уровня воды зафиксирован на реке Talgar River?,Talgar River,1,requested_predicate_match,1,3,0,0,,1,1
4,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Работает ли сейчас станция мониторинга на реке Koktal River?,Koktal River,1,temporal_evidence_match,0,3,0,1,sensor_operational_status,1,1
5,explicit,ANSWER,False,,Покажи текущий уровень воды в реке Prokhodnaya River.,Prokhodnaya River,1,requested_predicate_match,1,3,0,0,,1,1
6,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Какой статус у сенсора на реке Kumbel River?,Kumbel River,1,structural_fallback,0,0,0,1,sensor_operational_status,1,1
7,explicit,ANSWER,False,,Предоставь данные о текущем уровне воды в реке Batareyka River.,Batareyka River,1,requested_predicate_match,1,3,0,0,,1,1
8,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Проверь состояние датчика мониторинга на реке Ulken Almaty River.,Ulken Almaty River,1,structural_fallback,0,0,0,1,sensor_operational_status,1,1
9,explicit,ANSWER,True,per_entity_evidence_incomplete | requested_fact_missing_or_not_directly_stored,Каков текущий уровень воды в реках Ili River и Karatal River?,Ili River | Karatal River,2,structural_fallback | requested_predicate_match,1,3,0,2,water_level | temporal_context,2,2
10,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored | sensor_status_requires_manual_review,Выведи статус датчиков на реке Talgar River.,Talgar River,1,structural_fallback,0,0,0,1,sensor_operational_status,1,1
11,explicit,ANSWER,True,requested_fact_missing_or_not_directly_stored,Какая сейчас глубина воды в Koktal River?,Koktal River,1,temporal_evidence_match,0,3,0,1,water_depth,1,1
